0,1,2,3,4,5
17,1,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
17,2,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
17,3,23,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
17,4,22,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
17,5,21,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
17,6,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
17,7,19,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
17,8,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
17,9,17,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
17,10,16,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
18,1,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,2,29,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,3,28,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,4,27,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
18,5,26,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
18,6,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
18,7,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
18,8,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
18,9,22,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
18,10,21,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,11,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
18,12,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,13,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
18,14,17,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
18,15,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
18,16,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,17,14,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,18,13,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
18,19,12,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
18,20,11,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
18,21,10,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
18,22,9,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
19,1,35,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
19,2,34,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
19,3,33,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,4,32,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,5,31,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
19,6,30,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,7,29,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,8,28,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,9,27,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,10,26,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
19,11,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
19,12,24,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
19,13,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,-0.5
19,14,22,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
19,15,21,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
19,16,20,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
19,17,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
19,18,18,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,-0.5
19,19,17,"{'light': 'red', 'oncoming': 'right', 'right': None, 'left': None}",,0.0
19,20,16,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
19,21,15,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,12.0
20,1,30,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,-0.5
20,2,29,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
20,3,28,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",right,2.0
20,4,27,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
20,5,26,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
20,6,25,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
20,7,24,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
20,8,23,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
20,9,22,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
20,10,21,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
20,11,20,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",forward,2.0
20,12,19,"{'light': 'green', 'oncoming': None, 'right': None, 'left': None}",left,-0.5
20,13,18,"{'light': 'red', 'oncoming': None, 'right': None, 'left': None}",,0.0
